233742 	 591 	 2713.17
234187 	 592 	 1955.25
x 	 593 	 x
x 	 594 	 x
x 	 595 	 x
234470 	 596 	 1245.2
234647 	 597 	 177.304
x 	 598 	 x
234690 	 599 	 0
x 	 600 	 x
236592 	 601 	 0
236940 	 602 	 0
237249 	 603 	 0
x 	 604 	 x
x 	 605 	 x
x 	 606 	 x
x 	 607 	 x
237540 	 608 	 0
x 	 609 	 x
238698 	 610 	 0
238941 	 611 	 0
x 	 612 	 x
x 	 613 	 x
x 	 614 	 x
241111 	 615 	 0
x 	 616 	 x
241824 	 617 	 0
242330 	 618 	 0
x 	 619 	 x
242739 	 620 	 0
x 	 621 	 x
x 	 622 	 x
243486 	 623 	 0
x 	 624 	 x
244826 	 625 	 0
245426 	 626 	 0
246026 	 627 	 0
246142 	 628 	 0
248482 	 629 	 1855.43
248592 	 630 	 1850.71
x 	 631 	 x
250352 	 632 	 3125.84
251072 	 633 	 3553.27
251126 	 634 	 3299.74
251856 	 635 	 3736.52
253392 	 636 	 4910.69
x 	 637 	 x
x 	 638 	 x
x 	 639 	 x
x 	 640 	 x
253713 	 641 	 3360.8
x 	 642 	 x
x 	 643 	 x
253911 	 644 	 2094.53
x 	 645 	 x
x 	 646 	 x
x 	 647 	 x
254090 	 648 	 697.329
255000 	 649 	 1470.87
x 	 650 	 x
x 	 651 	 x
x 	 652 	 x
x 	 653 	 x
x 	 654 	 x
257000 	 655 	 627.471
x 	 656 	 x
257182 	 657 	 182.212
x 	 658 	 x
257306 	 659 	 282.957
257564 	 660 	 0
258138 	 661 	 0
x 	 662 	 x
258792 	 663 	 0
259108 	 664 	 0
x 	 665 	 x
x 	 666 	 x
x 	 667 	 x
x 	 668 	 x
261889 	 669 	 0
262489 	 670 	 0
262838 	 671 	 0
x 	 672 	 x
262866 	 673 	 0
263374 	 674 	 0
x 	 675 	 x
263729 	 676 	 0
264301 	 677 	 53.1974
x 	 678 	 x
265123 	 679 	 0
265511 	 680 	 0
267221 	 681 	 1297.45
267513 	 682 	 0
268022 	 683 	 200.15
x 	 684 	 x
x 	 685 	 x
x 	 686 	 x
x 	 687 	 x
268930 	 688 	 0
x 	 689 	 x
x 	 690 	 x
x 	 691 	 x
x 	 692 	 x
270887 	 693 	 0
270905 	 694 	 0
271487 	 695 	 0
x 	 696 	 x
272920 	 697 	 0
273520 	 698 	 0
x 	 699 	 x
274134 	 700 	 0
x 	 701 	 x
x 	 702 	 x
x 	 703 	 x
x 	 704 	 x
x 	 705 	 x
276583 	 706 	 0
277183 	 707 	 0
277777 	 708 	 0
277783 	 709 	 0
278377 	 710 	 0
x 	 711 	 x
x 	 712 	 x
279164 	 713 	 0
x 	 714 	 x
x 	 715 	 x
280384 	 716 	 0
x 	 717 	 x
x 	 718 	 x
281044 	 719 	 0
281520 	 720 	 0
x 	 721 	 x
282607 	 722 	 0
282887 	 723 	 0
x 	 724 	 x
x 	 725 	 x
x 	 726 	 x
x 	 727 	 x
x 	 728 	 x
x 	 729 	 x
285783 	 730 	 0
x 	 731 	 x
x 	 732 	 x
x 	 733 	 x
x 	 734 	 x
x 	 735 	 x
x 	 736 	 x
288911 	 737 	 0
289511 	 738 	 0
290111 	 739 	 0
x 	 740 	 x
290117 	 741 	 0
x 	 742 	 x
x 	 743 	 x
x 	 744 	 x
291769 	 745 	 0
x 	 746 	 x
x 	 747 	 x
x 	 748 	 x
