185674 	 473 	 0
186274 	 474 	 134.967
186874 	 475 	 332.451
187038 	 476 	 10.7464
x 	 477 	 x
187737 	 478 	 0
188114 	 479 	 79.4219
x 	 480 	 x
x 	 481 	 x
189210 	 482 	 0
x 	 483 	 x
x 	 484 	 x
x 	 485 	 x
x 	 486 	 x
190982 	 487 	 0
191503 	 488 	 0
191819 	 489 	 0
192198 	 490 	 0
x 	 491 	 x
193151 	 492 	 0
193583 	 493 	 0
193902 	 494 	 0
x 	 495 	 x
194540 	 496 	 0
194862 	 497 	 0
195199 	 498 	 0
195511 	 499 	 0
195858 	 500 	 0
x 	 501 	 x
x 	 502 	 x
197148 	 503 	 0
197748 	 504 	 242.078
198348 	 505 	 353.519
200701 	 506 	 2183.82
x 	 507 	 x
200889 	 508 	 1475.36
201301 	 509 	 1435.48
201439 	 510 	 1169.12
201489 	 511 	 952.982
202614 	 512 	 1645.67
205514 	 513 	 4170.78
208495 	 514 	 6781.42
x 	 515 	 x
x 	 516 	 x
208618 	 517 	 5750.48
x 	 518 	 x
x 	 519 	 x
209095 	 520 	 5204.49
209218 	 521 	 5002.84
x 	 522 	 x
x 	 523 	 x
x 	 524 	 x
209695 	 525 	 3755.69
209818 	 526 	 3647.98
210291 	 527 	 3714.86
x 	 528 	 x
210776 	 529 	 3325.69
211098 	 530 	 3312.99
212135 	 531 	 3882.06
x 	 532 	 x
x 	 533 	 x
x 	 534 	 x
x 	 535 	 x
x 	 536 	 x
x 	 537 	 x
212203 	 538 	 1366.34
x 	 539 	 x
214597 	 540 	 3049.98
x 	 541 	 x
x 	 542 	 x
x 	 543 	 x
x 	 544 	 x
x 	 545 	 x
x 	 546 	 x
x 	 547 	 x
x 	 548 	 x
219218 	 549 	 4278.95
x 	 550 	 x
x 	 551 	 x
x 	 552 	 x
219335 	 553 	 3203.22
x 	 554 	 x
x 	 555 	 x
x 	 556 	 x
x 	 557 	 x
219783 	 558 	 2055.35
x 	 559 	 x
x 	 560 	 x
x 	 561 	 x
219818 	 562 	 485.52
x 	 563 	 x
x 	 564 	 x
220365 	 565 	 0
220875 	 566 	 0
221226 	 567 	 55.0522
x 	 568 	 x
x 	 569 	 x
222372 	 570 	 0
222972 	 571 	 277.326
223514 	 572 	 342.837
223697 	 573 	 0
224114 	 574 	 144.719
225437 	 575 	 974.59
x 	 576 	 x
225772 	 577 	 340.724
x 	 578 	 x
x 	 579 	 x
x 	 580 	 x
x 	 581 	 x
227360 	 582 	 0
x 	 583 	 x
228284 	 584 	 0
228964 	 585 	 314.791
x 	 586 	 x
229564 	 587 	 342.609
x 	 588 	 x
230164 	 589 	 308.08
230429 	 590 	 226.143
230764 	 591 	 39.8053
232046 	 592 	 1049.51
x 	 593 	 x
x 	 594 	 x
x 	 595 	 x
232664 	 596 	 0
234187 	 597 	 967.842
x 	 598 	 x
234647 	 599 	 761.614
x 	 600 	 x
235992 	 601 	 1418.3
236649 	 602 	 1682.41
236940 	 603 	 1495.11
x 	 604 	 x
x 	 605 	 x
x 	 606 	 x
x 	 607 	 x
237527 	 608 	 0
x 	 609 	 x
238341 	 610 	 0
238822 	 611 	 0
x 	 612 	 x
x 	 613 	 x
x 	 614 	 x
240511 	 615 	 0
x 	 616 	 x
241224 	 617 	 0
241824 	 618 	 230.978
x 	 619 	 x
242425 	 620 	 0
x 	 621 	 x
x 	 622 	 x
243455 	 623 	 0
x 	 624 	 x
244226 	 625 	 0
244826 	 626 	 85.1122
245426 	 627 	 366.518
246026 	 628 	 448.327
246142 	 629 	 434.344
246626 	 630 	 610.015
x 	 631 	 x
246919 	 632 	 0
247226 	 633 	 5.31172
247519 	 634 	 52.0012
247938 	 635 	 0
248270 	 636 	 0
x 	 637 	 x
x 	 638 	 x
x 	 639 	 x
x 	 640 	 x
250222 	 641 	 0
x 	 642 	 x
x 	 643 	 x
251216 	 644 	 0
x 	 645 	 x
x 	 646 	 x
x 	 647 	 x
252929 	 648 	 0
253392 	 649 	 49.2562
x 	 650 	 x
x 	 651 	 x
x 	 652 	 x
x 	 653 	 x
x 	 654 	 x
255773 	 655 	 0
x 	 656 	 x
256423 	 657 	 0
x 	 658 	 x
257000 	 659 	 0.297133
257538 	 660 	 0
257896 	 661 	 0
x 	 662 	 x
258579 	 663 	 0
259078 	 664 	 0
x 	 665 	 x
x 	 666 	 x
x 	 667 	 x
x 	 668 	 x
261289 	 669 	 0
261889 	 670 	 227.385
262489 	 671 	 580.752
x 	 672 	 x
262838 	 673 	 141.568
263129 	 674 	 0
x 	 675 	 x
263648 	 676 	 0
264090 	 677 	 0
x 	 678 	 x
264911 	 679 	 0
265324 	 680 	 0
265786 	 681 	 0
267221 	 682 	 1150.1
267513 	 683 	 941.948
x 	 684 	 x
x 	 685 	 x
x 	 686 	 x
x 	 687 	 x
268625 	 688 	 0
x 	 689 	 x
x 	 690 	 x
x 	 691 	 x
x 	 692 	 x
270287 	 693 	 0
270887 	 694 	 111.572
271378 	 695 	 0
x 	 696 	 x
272320 	 697 	 0
272920 	 698 	 137.143
x 	 699 	 x
273571 	 700 	 0
x 	 701 	 x
x 	 702 	 x
x 	 703 	 x
x 	 704 	 x
x 	 705 	 x
275983 	 706 	 0
276583 	 707 	 238.654
277183 	 708 	 496.492
277777 	 709 	 679.668
277783 	 710 	 331.944
x 	 711 	 x
x 	 712 	 x
278676 	 713 	 0
x 	 714 	 x
x 	 715 	 x
279784 	 716 	 0
x 	 717 	 x
x 	 718 	 x
280920 	 719 	 0
281261 	 720 	 0
x 	 721 	 x
282007 	 722 	 0
282607 	 723 	 214.348
x 	 724 	 x
x 	 725 	 x
x 	 726 	 x
x 	 727 	 x
x 	 728 	 x
x 	 729 	 x
285183 	 730 	 0
x 	 731 	 x
x 	 732 	 x
x 	 733 	 x
x 	 734 	 x
x 	 735 	 x
x 	 736 	 x
288311 	 737 	 0
288911 	 738 	 212.976
289511 	 739 	 594.859
x 	 740 	 x
290111 	 741 	 263.436
x 	 742 	 x
x 	 743 	 x
x 	 744 	 x
291169 	 745 	 0
x 	 746 	 x
x 	 747 	 x
x 	 748 	 x
292755 	 749 	 0
293201 	 750 	 161.722
x 	 751 	 x
x 	 752 	 x
x 	 753 	 x
294694 	 754 	 0
x 	 755 	 x
295720 	 756 	 0
296320 	 757 	 207.713
x 	 758 	 x
297144 	 759 	 0
297744 	 760 	 164.002
x 	 761 	 x
298193 	 762 	 0
298435 	 763 	 0
298839 	 764 	 0
x 	 765 	 x
299453 	 766 	 0
299942 	 767 	 0
300302 	 768 	 0
300753 	 769 	 0
301240 	 770 	 0
301681 	 771 	 0
x 	 772 	 x
302671 	 773 	 0
x 	 774 	 x
303386 	 775 	 0
x 	 776 	 x
304106 	 777 	 0
304597 	 778 	 209.724
x 	 779 	 x
305261 	 780 	 0
305861 	 781 	 278.995
306461 	 782 	 440.454
307061 	 783 	 691.159
x 	 784 	 x
x 	 785 	 x
307450 	 786 	 0
307899 	 787 	 0
x 	 788 	 x
x 	 789 	 x
x 	 790 	 x
x 	 791 	 x
310093 	 792 	 0
310609 	 793 	 242.376
310712 	 794 	 0
311264 	 795 	 0
311600 	 796 	 0
x 	 797 	 x
x 	 798 	 x
x 	 799 	 x
313141 	 800 	 0
313741 	 801 	 233.584
314142 	 802 	 183.737
x 	 803 	 x
x 	 804 	 x
x 	 805 	 x
315732 	 806 	 0
x 	 807 	 x
316640 	 808 	 0
x 	 809 	 x
x 	 810 	 x
x 	 811 	 x
318595 	 812 	 0
319195 	 813 	 270.94
x 	 814 	 x
319707 	 815 	 0
320234 	 816 	 0
x 	 817 	 x
x 	 818 	 x
321270 	 819 	 0
321870 	 820 	 158.44
322182 	 821 	 177.183
x 	 822 	 x
x 	 823 	 x
322994 	 824 	 0
x 	 825 	 x
323726 	 826 	 0
324326 	 827 	 90.8938
324926 	 828 	 342.366
x 	 829 	 x
325526 	 830 	 129.005
x 	 831 	 x
x 	 832 	 x
326663 	 833 	 0
x 	 834 	 x
327287 	 835 	 0
327887 	 836 	 360.426
327995 	 837 	 40.7219
x 	 838 	 x
x 	 839 	 x
328844 	 840 	 0
x 	 841 	 x
x 	 842 	 x
330245 	 843 	 0
330845 	 844 	 206.965
331445 	 845 	 361.924
332353 	 846 	 875.59
x 	 847 	 x
x 	 848 	 x
332953 	 849 	 236.785
333147 	 850 	 0
333639 	 851 	 0
x 	 852 	 x
x 	 853 	 x
x 	 854 	 x
334918 	 855 	 0
335518 	 856 	 290.698
336118 	 857 	 546.513
336718 	 858 	 833.348
x 	 859 	 x
337318 	 860 	 564.074
x 	 861 	 x
337641 	 862 	 0
338240 	 863 	 0
x 	 864 	 x
x 	 865 	 x
x 	 866 	 x
339752 	 867 	 0
x 	 868 	 x
x 	 869 	 x
x 	 870 	 x
x 	 871 	 x
341546 	 872 	 0
344914 	 873 	 3018.49
x 	 874 	 x
x 	 875 	 x
345321 	 876 	 2217.9
345514 	 877 	 1874.67
x 	 878 	 x
x 	 879 	 x
x 	 880 	 x
345921 	 881 	 651.288
348260 	 882 	 2339.7
351026 	 883 	 4814.28
x 	 884 	 x
356122 	 885 	 9282.01
x 	 886 	 x
357883 	 887 	 10064.8
358275 	 888 	 10170.7
358483 	 889 	 9831.68
358875 	 890 	 9903.3
x 	 891 	 x
x 	 892 	 x
x 	 893 	 x
358971 	 894 	 8425.34
359083 	 895 	 8129.17
x 	 896 	 x
x 	 897 	 x
359307 	 898 	 7133.07
359475 	 899 	 6991.91
x 	 900 	 x
359571 	 901 	 5933.85
359683 	 902 	 5725.58
x 	 903 	 x
359690 	 904 	 4881.01
363022 	 905 	 7899.29
363198 	 906 	 7624.07
363220 	 907 	 7175.72
363317 	 908 	 6765.48
363622 	 909 	 6643.95
363798 	 910 	 6360.67
363820 	 911 	 6107.88
x 	 912 	 x
367382 	 913 	 8865.54
x 	 914 	 x
x 	 915 	 x
367801 	 916 	 8328.3
x 	 917 	 x
367925 	 918 	 7342.23
x 	 919 	 x
367982 	 920 	 6572.39
x 	 921 	 x
368226 	 922 	 6349.5
368401 	 923 	 6217.56
368525 	 924 	 5827.75
368582 	 925 	 5546.24
368826 	 926 	 5511.98
369684 	 927 	 5975.96
369932 	 928 	 5901.13
x 	 929 	 x
x 	 930 	 x
x 	 931 	 x
x 	 932 	 x
370284 	 933 	 4174.16
372789 	 934 	 6376.01
373389 	 935 	 6534.31
373399 	 936 	 6334.07
373469 	 937 	 6228.39
373989 	 938 	 6302.59
x 	 939 	 x
x 	 940 	 x
x 	 941 	 x
373999 	 942 	 4764.36
375496 	 943 	 5992.33
376096 	 944 	 6240.02
378704 	 945 	 8577.66
x 	 946 	 x
379182 	 947 	 8349.99
x 	 948 	 x
379224 	 949 	 7621.98
x 	 950 	 x
379304 	 951 	 7014.24
x 	 952 	 x
379782 	 953 	 6827.68
x 	 954 	 x
379824 	 955 	 6107.11
x 	 956 	 x
x 	 957 	 x
379904 	 958 	 5214.37
x 	 959 	 x
380382 	 960 	 4692.29
x 	 961 	 x
380424 	 962 	 3822.03
381893 	 963 	 4844.6
x 	 964 	 x
x 	 965 	 x
x 	 966 	 x
382493 	 967 	 3987.66
386061 	 968 	 7246.31
x 	 969 	 x
386661 	 970 	 7080.31
391007 	 971 	 11134.4
x 	 972 	 x
x 	 973 	 x
391210 	 974 	 10249.1
393091 	 975 	 11779
x 	 976 	 x
393247 	 977 	 11129.7
393717 	 978 	 11030.2
x 	 979 	 x
x 	 980 	 x
393847 	 981 	 10015.8
394317 	 982 	 10055.6
394371 	 983 	 9816.57
x 	 984 	 x
394447 	 985 	 9106.17
x 	 986 	 x
x 	 987 	 x
394644 	 988 	 7827.94
x 	 989 	 x
394892 	 990 	 7387.75
394917 	 991 	 7127.06
x 	 992 	 x
x 	 993 	 x
x 	 994 	 x
394971 	 995 	 5352.18
x 	 996 	 x
396001 	 997 	 5732.37
396079 	 998 	 5387.21
x 	 999 	 x
x 	 1000 	 x
x 	 1001 	 x
396601 	 1002 	 4306.04
397170 	 1003 	 4478.01
x 	 1004 	 x
x 	 1005 	 x
397197 	 1006 	 3276.01
x 	 1007 	 x
x 	 1008 	 x
397201 	 1009 	 1996.49
x 	 1010 	 x
x 	 1011 	 x
397770 	 1012 	 1432.32
398460 	 1013 	 1635.8
x 	 1014 	 x
401767 	 1015 	 4078.97
402057 	 1016 	 3964.04
402268 	 1017 	 3713.59
402367 	 1018 	 3414.88
402412 	 1019 	 3170.34
402657 	 1020 	 3025.65
x 	 1021 	 x
402865 	 1022 	 2298.79
x 	 1023 	 x
x 	 1024 	 x
402868 	 1025 	 798.636
403685 	 1026 	 1253.13
x 	 1027 	 x
408446 	 1028 	 5081.88
x 	 1029 	 x
408880 	 1030 	 4746.93
409046 	 1031 	 4572.82
409480 	 1032 	 4423.64
409892 	 1033 	 4456.4
x 	 1034 	 x
x 	 1035 	 x
412514 	 1036 	 5814.29
413114 	 1037 	 6116.19
x 	 1038 	 x
414560 	 1039 	 6880.09
x 	 1040 	 x
414821 	 1041 	 6355.97
415160 	 1042 	 6367.76
415326 	 1043 	 6048.34
415421 	 1044 	 5672.41
x 	 1045 	 x
415760 	 1046 	 5169.31
415926 	 1047 	 5220.13
416021 	 1048 	 4977.67
x 	 1049 	 x
416952 	 1050 	 5019.61
x 	 1051 	 x
417552 	 1052 	 4927.71
